reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
dc49d24e-0ff4-4414-b591-4c8636866c99,RE_Evan Arya Widyadhana,https://play-lh.googleusercontent.com/a-/ALV-UjUhjeQgAxyJlksvv5UawzTDWu-9N_R-d9eVkhIi0rEnqpv2boTlZg,lelet banget aduh saya sering ketinggalan absen karena buffering terus benerin kek,1,0,3.3.17,2025-09-03 15:21:18,,,3.3.17
68030d73-df18-438b-b7ec-cd5f01e09293,Xll _6_Faqih Abqari Sutopo,https://play-lh.googleusercontent.com/a-/ALV-UjWjXK3Sf3uYbHpCaEVRx5-eD7aQU_axaqZ15gePjeQMJ2BCggQ,"APLIKASI BANYAK BUG DAN ERROR ❗ TOLONG OPTIMALKAN LAGI KARENA MENGGANGGU KELANCARAN KULIAH, TERIMAKASIH",2,0,3.3.17,2025-09-03 10:24:19,,,3.3.17
fe12e710-6969-4731-8f2a-9bf77b72a073,Komodo Rajin Sholat,https://play-lh.googleusercontent.com/a-/ALV-UjW7a-GbzPUJwNjC9viRPVLtGUD_WVNuwp-GqPuhnzE1m8kEuOU,game aneh,1,0,,2025-09-03 09:25:43,,,
3479d420-36f3-4c02-b0e2-b919812f3404,Afis,https://play-lh.googleusercontent.com/a-/ALV-UjXgH1lTrRgoUlgjs9poKwgL1WyagExFwYlkFreYL5gccAhnmibX,Tolong dong min anak tiri ke 3 (UB Kediri) di cantumkan di map,5,0,3.3.9,2025-08-20 09:10:27,,,3.3.9
c4cb6ac7-8e28-4375-ab53-fe40e671c16a,erliana susan,https://play-lh.googleusercontent.com/a-/ALV-UjWBSgoGVad3BQw6_1uYcA-g09G86v_JAsPsdJmhcVzmFR33NTw,"tidak ada kolom buat login, jadi tidak bisa login",2,0,3.3.15,2025-08-13 19:30:54,,,3.3.15
adc545e3-2379-49a4-a0a7-285926842563,G_FADYA NUR AULIA,https://play-lh.googleusercontent.com/a-/ALV-UjUkPbC6sulg_dMCAyY9cbC9xBdRptjtnCVvP75ayyYbHsQgGufI,"Fitur-fitur yang tersedia memang sudah bagus, tetapi saya selalu mengalami kendala saat mencoba login di IAM UB. Meskipun saya sudah memasukkan username dan password dengan benar, tetap saja saya tidak bisa login dan malah kembali ke halaman awal. Mohon kepada pihak aplikator untuk segera membenahi fitur login aplikasi ini. Terima kasih 🙏🏻",2,2,3.3.14,2025-07-10 14:34:53,,,3.3.14
9d962883-fc9b-4722-b2cc-4519aff8e41b,Maysa Pury,https://play-lh.googleusercontent.com/a-/ALV-UjUw4jH-wfxo4zhOS8Tf7HOlV504ti4i72WeHRw07q2gxNZgoOY,"Gagal login terus, udah coba hubungin help desk nya, udah di kasih solusi malah sama aja. Pasti ada bug di aplikasi nya ini yang bikin gagal login, saya udah ngikutin arahan petunjuk dari help desk nya, tapi tetep gagal login. Tolong bug aplikasinya di benahi.",1,0,,2025-07-07 11:31:00,,,
57284ae0-841e-4bba-86a8-3cf7acd45b8a,wooo,https://play-lh.googleusercontent.com/a-/ALV-UjWc90cjK-zHObHJULlI02SFq2-xpWF7uo4I49-fHh-tPH-iXcSu,udah login harus login lagi. gabisa masuk karena harus login terus. tolong perbaiki.,1,20,3.3.14,2025-07-05 17:05:39,,,3.3.14
9054699f-4bcb-47e0-8e08-0e8a2ccd261c,Alan Dika,https://play-lh.googleusercontent.com/a-/ALV-UjW-mBfHQdn29AJ8-Qphs0o1UnK_gRC1G_af1p1MemaCTQWVBGWG,Lemottt kali,1,0,3.3.9,2025-04-29 10:39:01,,,3.3.9
20e21d3f-0383-4e90-a548-531c98280ec5,ario seto,https://play-lh.googleusercontent.com/a-/ALV-UjUi0w0Bx8D2z4PekMYqdWWNUwSHqmTRHICWFwsdoxOOgRejqTxx,"aplikasi yang menghalangi mahasiswa belajar, mau login eh katanya password atau username salah, padahal udah coba di siam masih bisa, di gapura aja yg bermasalah",1,12,3.3.9,2025-03-19 08:47:53,,,3.3.9
8c0ad7af-51aa-4309-b8f7-fcf4fdc418a5,Chelsea bhatari waluyo,https://play-lh.googleusercontent.com/a-/ALV-UjVlbS3qMV6VJApRu2Lnhl1WbPORVYrpkRP8a6z9NdjdYN_vkRI,"Kenapa sekarang gapura tidak ada notifikasinya, tolong kembalikan notifikasi gapura. Terimakasih",2,2,3.3.9,2025-03-11 09:50:35,,,3.3.9
27fcfc79-ab2c-41f2-a2f9-d2e1bee09f60,Rhio Arhastio,https://play-lh.googleusercontent.com/a-/ALV-UjVbmUImXKamN3fJ1mfTonwnBOVtPABPoCJtZhZpLU9QRp6Go5lO,Tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar HP sehingga tidak tercampur dengan notif lainnya.,3,1,3.3.9,2025-03-04 21:16:25,,,3.3.9
